id,date,time,zone,currency,importance,event,actual,forecast,previous
511539,01/12/2024,01:00,south korea,KRW,low,Exports (YoY)  (Nov),1.4%,,4.6%
511538,01/12/2024,01:00,south korea,KRW,low,Imports (YoY)  (Nov),-2.4%,,1.7%
511540,01/12/2024,01:00,south korea,KRW,low,Trade Balance  (Nov),5.61B,,3.15B
514307,01/12/2024,16:30,peru,PEN,low,CPI (MoM)  (Nov),0.09%,,-0.09%
511565,01/12/2024,22:45,new zealand,NZD,low,Building Consents (MoM)  (Oct),-5.2%,,2.4%
512561,01/12/2024,23:00,australia,AUD,low,Judo Bank Australia Manufacturing PMI,49.4,,49.4
216,02/12/2024,All Day,united arab emirates,,,United Arab Emirates - National Day,,,
216,02/12/2024,All Day,united arab emirates,,,United Arab Emirates - National Day,,,
511566,02/12/2024,00:50,japan,JPY,medium,Capital Spending (YoY)  (Q3),8.1%,6.7%,7.4%
512736,02/12/2024,01:00,australia,AUD,low,MI Inflation Gauge (MoM)  (Nov),0.2%,,0.3%
511575,02/12/2024,01:30,south korea,KRW,low,S&P Global South Korea Manufacturing PMI  (Nov),50.6,,48.3
512737,02/12/2024,01:30,australia,AUD,low,ANZ Job Advertisements (MoM)  (Nov),-1.3%,,0.7%
511569,02/12/2024,01:30,australia,AUD,low,Building Approvals (YoY)  (Oct),12.70%,,18.10%
511577,02/12/2024,01:30,australia,AUD,medium,Building Approvals (MoM)  (Oct),4.2%,1.2%,5.8%
511568,02/12/2024,01:30,australia,AUD,low,Business inventories (MoM)  (Q3),-0.9%,-0.2%,0.5%
511570,02/12/2024,01:30,australia,AUD,medium,Company Gross Operating Profits (QoQ)  (Q3),-4.6%,0.6%,-6.8%
511572,02/12/2024,01:30,australia,AUD,low,Company Profits Pre-Tax (QoQ)  (Q3),1.6%,,-1.7%
511571,02/12/2024,01:30,australia,AUD,low,Private House Approvals  (Oct),-5.2%,,2.2%
511580,02/12/2024,01:30,australia,AUD,medium,Retail Sales (MoM)  (Oct),0.6%,0.4%,0.1%
511574,02/12/2024,01:30,japan,JPY,low,au Jibun Bank Japan Manufacturing PMI  (Nov),49.0,49.0,49.2
511578,02/12/2024,01:30,philippines,PHP,low,S&P Global Philippines Manufacturing PMI  (Nov),53.8,,52.9
511576,02/12/2024,01:30,taiwan,TWD,low,S&P Global Taiwan Manufacturing PMI  (Nov),51.50,,50.20
511573,02/12/2024,01:30,indonesia,IDR,low,Nikkei Manufacturing PMI  (Nov),49.6,,49.2
